Rank,Title,Release_Year,Domestic Box Office,International Box Office,Total Box Office
1,Star Wars Ep. VII: The Force Awakens,2015,"$936,662,225","$1,122,000,000","$2,058,662,225"
2,Avatar,2009,"$760,507,625","$2,023,411,357","$2,783,918,982"
3,Titanic,1997,"$658,672,302","$1,548,943,366","$2,207,615,668"
4,Jurassic World,2015,"$652,198,010","$1,019,442,583","$1,671,640,593"
5,The Avengers,2012,"$623,279,547","$896,200,000","$1,519,479,547"
6,The Dark Knight,2008,"$533,345,358","$469,451,702","$1,002,797,060"
7,Rogue One: A Star Wars Story,2016,"$532,177,324","$518,811,164","$1,050,988,488"
8,Beauty and the Beast,2017,"$504,014,165","$756,108,198","$1,260,122,363"
9,Finding Dory,2016,"$486,295,561","$536,321,815","$1,022,617,376"
10,Star Wars Ep. I: The Phantom Menace,1999,"$474,544,677","$552,500,000","$1,027,044,677"
11,Star Wars Ep. IV: A New Hope,1977,"$460,998,007","$325,600,000","$786,598,007"
12,Avengers: Age of Ultron,2015,"$459,005,868","$945,700,000","$1,404,705,868"
13,The Dark Knight Rises,2012,"$448,139,099","$636,300,000","$1,084,439,099"
14,Shrek 2,2004,"$441,226,247","$495,781,885","$937,008,132"
15,ET: The Extra-Terrestrial,1982,"$435,110,554","$357,854,772","$792,965,326"
16,The Hunger Games: Catching Fire,2013,"$424,668,047","$440,200,000","$864,868,047"
17,Pirates of the Caribbean: Dead Man’s Chest,2006,"$423,315,812","$642,900,000","$1,066,215,812"
18,The Lion King,1994,"$422,780,140","$564,700,000","$987,480,140"
19,Toy Story 3,2010,"$415,004,880","$654,813,349","$1,069,818,229"
20,Iron Man 3,2013,"$408,992,272","$806,400,000","$1,215,392,272"
21,Captain America: Civil War,2016,"$408,084,349","$743,600,000","$1,151,684,349"
22,The Hunger Games,2012,"$408,010,692","$269,912,687","$677,923,379"
23,Spider-Man,2002,"$403,706,375","$418,000,000","$821,706,375"
24,Transformers: Revenge of the Fallen,2009,"$402,111,870","$434,407,829","$836,519,699"
25,Frozen,2013,"$400,738,009","$873,496,971","$1,274,234,980"
26,Jurassic Park,1993,"$395,708,305","$643,104,279","$1,038,812,584"
27,Wonder Woman,2017,"$389,741,896","$390,289,899","$780,031,795"
28,Guardians of the Galaxy Vol 2,2017,"$387,315,212","$470,664,162","$857,979,374"
29,Harry Potter and the Deathly Hallows: Part II,2011,"$381,011,219","$960,500,000","$1,341,511,219"
30,Finding Nemo,2003,"$380,529,370","$555,900,000","$936,429,370"
31,Star Wars Ep. III: Revenge of the Sith,2005,"$380,270,577","$468,728,300","$848,998,877"
32,The Lord of the Rings: The Return of the King,2003,"$377,845,905","$763,557,436","$1,141,403,341"
33,Spider-Man 2,2004,"$373,524,485","$410,180,516","$783,705,001"
34,The Passion of the Christ,2004,"$370,782,930","$251,558,994","$622,341,924"
35,The Secret Life of Pets,2016,"$368,384,330","$507,573,977","$875,958,307"
36,Despicable Me 2,2013,"$368,065,385","$607,151,450","$975,216,835"
37,The Jungle Book,2016,"$364,001,123","$599,900,000","$963,901,123"
38,Deadpool,2016,"$363,070,709","$437,958,540","$801,029,249"
39,Inside Out,2015,"$356,461,711","$497,245,870","$853,707,581"
40,Transformers: Dark of the Moon,2011,"$352,390,543","$771,400,000","$1,123,790,543"
41,Furious 7,2015,"$351,032,910","$1,165,715,774","$1,516,748,684"
42,American Sniper,2014,"$350,126,372","$197,200,000","$547,326,372"
43,The Lord of the Rings: The Two Towers,2002,"$342,548,984","$592,150,661","$934,699,645"
44,Zootopia,2016,"$341,268,248","$678,654,735","$1,019,922,983"
45,The Hunger Games: Mockingjay - Part 1,2014,"$337,135,885","$429,516,403","$766,652,288"
46,Spider-Man 3,2007,"$336,530,303","$554,345,000","$890,875,303"
47,Minions,2015,"$336,045,770","$831,199,596","$1,167,245,366"
48,Alice in Wonderland,2010,"$334,191,110","$691,300,000","$1,025,491,110"
49,Guardians of the Galaxy,2014,"$333,172,112","$437,951,290","$771,123,402"
50,Batman v Superman: Dawn of Justice,2016,"$330,360,194","$537,800,000","$868,160,194"
51,Forrest Gump,1994,"$330,151,138","$349,699,499","$679,850,637"
52,Suicide Squad,2016,"$325,100,054","$421,000,000","$746,100,054"
